date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:59	197/197	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Thu,%2021%20Dec%202017%2009:25:59%20GMT	http://punicatheme.com/demo/unicmag/html/js/jquery-1.11.1.min.js	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/js/jquery-1.11.1.min.js	(from http://punicatheme.com/demo/unicmag/html/)
17:25:59	12562/12562	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Dec%202017%2009:25:59%20GMT	http://punicatheme.com/demo/unicmag/html/fonts/glyphicons-halflings-regular.woff	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/fonts/glyphicons-halflings-regular.78.delayed	(from http://punicatheme.com/demo/unicmag/html/css/bootstrap.min.css)
17:26:00	197/197	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Thu,%2021%20Dec%202017%2009:26:00%20GMT	http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-37.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-37.jpg	(from http://punicatheme.com/demo/unicmag/html/category-4.html)
17:26:00	197/197	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Thu,%2021%20Dec%202017%2009:26:00%20GMT	http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-61.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-61.jpg	(from http://punicatheme.com/demo/unicmag/html/index-eislider.html)
17:26:00	197/197	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Thu,%2021%20Dec%202017%2009:26:00%20GMT	http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-62.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-62.jpg	(from http://punicatheme.com/demo/unicmag/html/index-eislider.html)
17:26:00	197/197	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Thu,%2021%20Dec%202017%2009:26:00%20GMT	http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-36.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-36.jpg	(from http://punicatheme.com/demo/unicmag/html/category-2.html)
17:26:00	197/197	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Thu,%2021%20Dec%202017%2009:26:00%20GMT	http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-39.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-39.jpg	(from http://punicatheme.com/demo/unicmag/html/single.html)
17:26:00	12562/12562	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Dec%202017%2009:26:00%20GMT	http://punicatheme.com/demo/unicmag/html/fonts/glyphicons-halflings-regular.ttf	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/fonts/glyphicons-halflings-regular.79.delayed	(from http://punicatheme.com/demo/unicmag/html/css/bootstrap.min.css)
17:26:01	510521/510521	URF---	200	added ('OK%20(cached)')	image/jpeg		http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-43.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-43.jpg	(from http://punicatheme.com/demo/unicmag/html/single.html)
17:26:01	499107/499107	URF---	200	added ('OK%20(cached)')	image/jpeg		http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-42.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-42.jpg	(from http://punicatheme.com/demo/unicmag/html/single.html)
17:26:01	12562/12562	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Dec%202017%2009:26:01%20GMT	http://punicatheme.com/demo/unicmag/html/fonts/glyphicons-halflings-regular.svg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/fonts/glyphicons-halflings-regular.7a.delayed	(from http://punicatheme.com/demo/unicmag/html/css/bootstrap.min.css)
17:26:01	197/197	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Thu,%2021%20Dec%202017%2009:26:01%20GMT	http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-40.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-40.jpg	(from http://punicatheme.com/demo/unicmag/html/single.html)
17:26:01	197/197	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Thu,%2021%20Dec%202017%2009:26:01%20GMT	http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-41.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-41.jpg	(from http://punicatheme.com/demo/unicmag/html/single.html)
17:26:01	197/197	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Thu,%2021%20Dec%202017%2009:26:01%20GMT	http://punicatheme.com/demo/unicmag/html/placeholders/avatar/avatar-1.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/avatar/avatar-1.jpg	(from http://punicatheme.com/demo/unicmag/html/single.html)
17:26:02	151011/151011	URF---	200	added ('OK%20(cached)')	image/jpeg		http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-66.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-66.jpg	(from http://punicatheme.com/demo/unicmag/html/single-gallery.html)
17:26:02	493769/493769	URF---	200	added ('OK%20(cached)')	image/jpeg		http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-45.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-45.jpg	(from http://punicatheme.com/demo/unicmag/html/shop.html)
17:26:02	518165/518165	URF---	200	added ('OK%20(cached)')	image/jpeg		http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-44.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-44.jpg	(from http://punicatheme.com/demo/unicmag/html/single.html)
17:26:02	229794/229794	URF---	200	added ('OK%20(cached)')	image/jpeg		http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-65.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-65.jpg	(from http://punicatheme.com/demo/unicmag/html/single-gallery.html)
17:26:02	493461/493461	URF---	200	added ('OK%20(cached)')	image/jpeg		http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-46.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-46.jpg	(from http://punicatheme.com/demo/unicmag/html/shop.html)
17:26:02	495638/495638	URF---	200	added ('OK%20(cached)')	image/jpeg		http://punicatheme.com/demo/unicmag/html/placeholders/post-image/post-47.jpg	/home/turtuvshin/My%20Web%20Sites/unicmac/punicatheme.com/demo/unicmag/html/placeholders/post-image/post-47.jpg	(from http://punicatheme.com/demo/unicmag/html/shop.html)
